MACHINE_OID,CLASS_NAME,STATUS,STATUS_LAST_UPDATED_UTC,SOFT_STATE,LOCATION_OID,LOCATION_LAST_UPDATED_UTC,WAYPOINT_OID,WAYPOINT_LAST_UPDATED_UTC,TIME_AT_WAYPOINT_UTC,CURRENT_OPERATOR_OID,CURR_OPERATOR_LAST_UPDATED_UTC,TIME_TILL_REFUEL,TIME_TILL_CRIT_REFUEL,JOBCODE_OID,JOB_CODE_LAST_UPDATED_UTC,MATERIAL_OID,MATERIAL_LAST_UPDATED_UTC,MATERIAL_DETERMINATION,LAST_POSITION_REPORT_DATE_UTC,X,Y,Z,POSITION_ACCURACY,MACHINE_SHUTDOWN,NOT_IN_USE,MSTATE_LOADSTATUS,MSTATE_MANUALOVERRIDE,MSTATE_OLDLOADSTATUS,MSTATE_OLDSTATE,FIELD_BAD_GPS,SERVICE_MACHINE_OID,LAST_LOADER_OID,LAST_PROCESSOR_OID,TIME_COMMENCED_SERVICE_UTC,TIME_COMPLETED_SERVICE_UTC,SERVICE_INFO_LAST_UPDATED_UTC,SPEED,HEADING,FREEDESTPERCENT,FREEGRPDESTPERCENT,LOADED,CURRENT_PAYLOAD,CURR_PAYLOAD_LAST_UPDATED_UTC,LAST_PAYLOAD,LAST_MATERIAL_OID,LAST_GRADE_BLOCK_OID,CURRENT_GRADE_BLOCK_OID,CUR_GRADE_BLK_LAST_UPDATED_UTC,GRADE_BLOCK_DETERMINATION,GRADE_BLOCK_OID,GRADE_BLOCK_GROUP_OID,LAST_LOADED_GRADE_BLOCK_OID,UG_MODE,UG_MODE_MSG_TIME_UTC,LAST_SERVICE_AMOUNT,LAST_SRV_AMT_LAST_UPDATED_UTC,LAST_SERVICE_START_UTC,LAST_SRV_STRT_LAST_UPDATED_UTC,CHUTE_CURRENT_LEVEL,UG_LOC_STATE,CHUTE_DUMPED_AMOUNT,CHUTE_TAKEN_AMOUNT,UG_LOC_WARNING,CHUTE_LAST_DUMPED_UTC,CHUTE_DUMPED_RATE,LOADER_CYCLE_MODE,LOADER_RECIPE_OID,CURRENT_BENCH_FILE,DUMPED_AMOUNT_CURRENT_SHIFT,PAYLOAD_UPDATE_SOURCE,LOADER_RECIPE_APPLIED_UTC,ARTICULATION,LOADER_RECIPE_RATE,LAST_LOAD_WAYPOINT_OID,LAST_DUMP_WAYPOINT_OID,AIMS_STATUS,AIMS_MACHINE_FAULT,AIMS_LAST_MESSAGE_UTC,HAULAGE_ETA_UTC,WATER_TANK_LEVEL,WATER_REFILL_STATUS,WATER_REFILL_STATUS_SOURCE,WATER_REFUEL_STATUS,ALLOCATED_WATERING_CIRCUIT_OID,LAYOVER_REASON,PROHIBITED_SEQ_MATERIAL_MODIFIER,PROHIBITED_SEQ_OCCURRENCES,RETURN_LOADED_TRUCKS_TO_QUEUE
192336916,ProcessorInPit,0,NULL,NULL,192336896,47:29.4,192336893,47:29.4,NULL,NULL,NULL,0,0,NULL,NULL,165350245,02:28.5,0,47:29.4,-566.41,-907.34,115,2,1,0,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,226800,44:34.1,51:31.1,51:31.1,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,0,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,,0,0
192427596,LoadingToolInPit,0,NULL,16,192373503,57:21.3,192427597,40:58.9,NULL,243200217,35:20.8,63725.43373,65482.06024,NULL,NULL,165030922,46:25.3,0,59:15.5,2271.73,-1012.99,115.5,0.01,0,0,NULL,NULL,NULL,NULL,0,NULL,NULL,NULL,NULL,NULL,NULL,0,6.283100128,0,0,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,192430928,192196414,192430928,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,Prime,NULL,NULL,NULL,NULL,00:00.0,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,,0,0
192554326,AuxiliaryMachineInPit,0,NULL,NULL,NULL,NULL,NULL,NULL,NULL,362882850,35:19.9,0,0,NULL,NULL,NULL,NULL,0,14:57.5,8032.58,-751.69,115,0.01,0,0,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,2.780000104,4.706999779,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,,0,0
193477322,MachineInPit,0,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,0,0,0,NULL,1,0,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,,0,0
194203474,MachineInPit,0,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,0,0,0,NULL,1,0,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,,0,0
196013191,AuxiliaryMachineInPit,0,NULL,NULL,NULL,NULL,NULL,NULL,NULL,362883161,35:20.8,0,0,NULL,NULL,NULL,NULL,0,41:23.0,-622,-2806,130.07,0,0,0,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,0,4.712299824,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,,0,0
201955781,LoadingToolInPit,0,NULL,NULL,201957516,10:11.1,201955782,52:06.9,NULL,NULL,36:38.4,0,0,NULL,NULL,NULL,NULL,0,57:41.1,5716.6,-2425.63,115,2,1,0,NULL,NULL,NULL,NULL,0,NULL,NULL,NULL,NULL,NULL,NULL,0,0,0,0,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,201954486,192196414,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,Manual,NULL,NULL,NULL,NULL,00:00.0,NULL,100,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,,0,0
202073276,LoadingToolInPit,0,NULL,NULL,202119726,52:33.2,202073277,03:39.1,NULL,243200177,35:20.3,0,0,NULL,NULL,165030922,09:45.7,0,59:15.6,-539.16,1601.6,115.5,0.01,0,0,NULL,NULL,NULL,NULL,0,NULL,NULL,NULL,NULL,NULL,NULL,0,6.283100128,0,0,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,202122454,202122451,202122454,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,00:00.0,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,,0,0
202074483,TruckInPit,1,17:06.2,NULL,202119726,07:12.1,202073077,17:06.0,17:06.0,243200175,35:21.4,0,0,NULL,NULL,165030922,09:45.7,41,59:15.5,-386.23,1234.37,115.5,0.01,0,0,1,0,0,0,0,202073276,202073276,NULL,08:31.0,09:43.0,09:43.6,0,3.141499996,100,100,0,226800,17:06.0,151200,NULL,202122454,202122454,08:31.5,20,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,LOAD_REPORT_COMMITTED,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,,0,0
202074492,TruckInPit,1,21:21.9,NULL,202119726,18:50.5,202073277,19:29.9,19:29.0,175443405,35:21.4,0,0,NULL,NULL,165030922,21:24.0,41,59:15.5,-538.91,1576.79,115.5,0.01,0,0,2,0,2,5,0,202073276,202073276,NULL,20:09.0,21:21.0,21:21.9,0,4.747000217,100,100,1,226800,21:21.9,151200,NULL,202122454,202122454,20:09.9,20,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,LOAD_REPORT_COMMITTED,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,,0,0
